INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Me siento muy esperanzado por el cambio de la constitución];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Creo que el cambio constitucional es necesario para avanzar en materia de derechos y justicia social];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Creo que el acuerdo para el cambio constitucional fue justo y transparente];INDIQUE SU GRADO DE ACUERDO CON LOS SIGUIENTES ENUNCIADOS [Confío en que una nueva constitución nos hará un mejor país a la larga];"ANTE LA PREGUNTA ""¿QUIERE USTED UNA NUEVA CONSTITUCIÓN?"" USTED...";"ANTE LA PREGUNTA ""¿QUÉ TIPO DE ÓRGANO DEBIERA REDACTAR LA NUEVA CONSTITUCIÓN?"" USTED...";GENERO;REGIÓN DONDE VIVES;COMUNA ;EDAD;SI TUVIERAS QUE POSICIONAR TU NIVEL SOCIOECONÓMICO DIRÍAS QUE ES...;LA MEJOR FORMA DE ORGANIZACIÓN POLÍTICA ES CON UNA ORGÁNICA DE TIPO;"RESPECTO A ""LA REALIDAD"" COMO TAL, PODEMOS DECIR QUE";LA MEJOR FORMA DE ORGANIZACIÓN ECONÓMICA ES CON UN MERCADO;SI TUVIERA QUE AUTOPOSICIONARSE IDEOLÓGICAMENTE DIRÍA QUE USTED ES DE;¿CUANTOS AÑOS DE EDUCACIÓN FORMAL ACUMULA HASTA ÉSTE MOMENTO? (sumando educación básica, media, técnica, universitaria, y postgrados). 
Muy en desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Maipú;31;4;9;10;4;5;19
Neutral;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;San Miguel ;30;3;4;4;8;3;23
Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Macul;26;2;1;7;6;6;19
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Peñalolen;46;5;3;1;8;2;28
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Valparaíso;25;3;8;7;3;3;19
En desacuerdo;De acuerdo;Muy en desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VI Región del Libertador General Bernardo O’Higgins;Rancagua ;21;3;3;5;8;1;14
De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;cerrillos;26;3;5;1;7;4;19
Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;concepcion;20;3;3;3;4;4;14
Neutral;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Ñuñoa;45;3;1;3;5;5;18
En desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;puente alto;18;2;2;2;9;2;13
De acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Vitacura ;68;4;7;3;3;3;19
De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;I. Región de Tarapacá;Iquique;21;3;1;8;8;3;16
Neutral;Muy de acuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;San Miguel;25;3;3;3;8;1;18
De acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Providencia;37;4;3;5;8;3;25
De acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Las Condes;26;4;3;1;7;4;19
En desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Conchali;21;2;10;8;1;1;14
De acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Mujer;V Región de Valparaíso;viña del mar;31;3;5;6;7;5;17
Muy de acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Villa alemana;23;3;5;5;8;2;18
Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Neutral;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Lo barnechea;64;4;8;5;2;7;18
Neutral;De acuerdo;En desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;XI Región Aysén del General Carlos Ibáñez del Campo;Cochrane ;21;3;3;8;8;4;14
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Las condes;20;3;3;2;3;5;12
De acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Lebu;41;3;3;3;8;3;19
De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;XV Región de Arica y Parinacota;Arica;32;3;2;6;7;4;24
Neutral;De acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago;25;4;2;7;8;2;17
Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Melipilla;22;4;3;7;7;3;16
Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Ñuñoa;30;4;1;4;7;4;22
De acuerdo;De acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Independencia;25;3;5;5;7;4;16
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Providencia ;38;3;1;10;6;4;18
En desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;NO IRÁ A VOTAR;NO IRÁ A VOTAR;Hombre;Región Metropolitana de Santiago;Santiago;40;3;1;8;10;1;18
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Mujer;XII Región de Magallanes y Antártica Chilena;Punta arenas;40;3;4;4;3;5;20
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;Vitacura;26;3;7;8;4;6;19
De acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago;34;4;4;5;7;3;17
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Santiago centro;36;3;1;1;1;5;18
De acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Providencia;26;3;3;5;8;2;17
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Trans/No binario;Región Metropolitana de Santiago;La Cisterna;27;2;3;4;8;3;17
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;Quinta Normal;2920;3;4;4;7;4;20
En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Concepción;29;2;7;7;7;2;17
Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;I. Región de Tarapacá;iquique;33;3;3;4;8;2;15
Muy en desacuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;EL BOSQUE;32;3;3;1;5;2;16
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;IX Región de La Araucanía;Temuco;44;4;7;7;3;4;20
Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Estación Central;30;3;5;3;7;4;18
Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;V Región de Valparaíso;Concon ;41;4;6;3;8;3;25
En desacuerdo;De acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;X Región de Los Lagos;Puerto varas ;23;3;3;4;4;4;14
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;III Región de Atacama;Copiapò;32;2;1;1;10;2;18
Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Cerro Navia;29;3;1;1;10;1;20
Neutral;De acuerdo;Muy en desacuerdo;En desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Las Condes;31;3;5;1;10;5;19
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Lampa;41;2;1;5;10;2;16
Muy de acuerdo;Muy de acuerdo;De acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Quinta Normal;25;2;5;2;7;5;19
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Coronel;21;3;7;3;6;3;15
De acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Pudahuel;26;3;2;8;8;2;17
Neutral;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Quilpué;17;3;5;5;3;3;11
De acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Paine;19;1;10;10;5;1;13
Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""NULO O BLANCO""";Hombre;V Región de Valparaíso;Concón ;22;3;6;8;9;2;18
Neutral;De acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Santiago;30;2;6;5;6;5;20
De acuerdo;De acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Las condes;28;3;5;7;7;4;18
Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Recoleta;21;2;8;8;2;10;15
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Valparaíso;29;3;5;5;6;4;20
En desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Cochali;28;2;6;10;5;1;21
Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;XVI Región de Ñuble;Yungay;21;2;3;1;5;5;15
Neutral;De acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;X Región de Los Lagos;Puerto Octay;27;4;5;7;4;6;15
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Hualpen;25;1;5;5;4;6;18
De acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Puente alto;21;3;5;5;5;3;14
En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;VIII Región del Biobío;Talcahuano;26;2;8;8;8;6;18
Muy de acuerdo;Muy de acuerdo;Neutral;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;La Granja;24;3;2;2;8;3;18
Muy de acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Lo espejo;21;2;6;1;10;1;14
De acuerdo;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;NO IRÁ A VOTAR;"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Colina;17;2;3;8;6;5;11
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Valparaiso;34;1;5;1;6;5;20
Neutral;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VIII Región del Biobío;Concepción ;28;2;4;5;6;3;16
De acuerdo;Muy de acuerdo;En desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Conchalí;25;3;2;3;7;2;16
De acuerdo;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VI Región del Libertador General Bernardo O’Higgins;Pichilemu;27;3;4;8;10;2;17
De acuerdo;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;V Región de Valparaíso;Viña del Mar ;22;3;4;10;4;6;16
En desacuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""NULO O BLANCO""";Mujer;Región Metropolitana de Santiago;Peñalolén ;45;2;1;4;10;2;17
De acuerdo;Muy de acuerdo;En desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;VI Región del Libertador General Bernardo O’Higgins;Rancagua;27;3;3;1;8;2;16
En desacuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;VIII Región del Biobío;San Pedro de La Paz;27;2;3;2;8;1;17
Muy en desacuerdo;Neutral;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;V Región de Valparaíso;Calle Larga;26;2;5;7;1;5;17
Neutral;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Pudahuel;19;3;1;6;8;1;14
Neutral;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;II Región de Antofagasta;Antofagasta;22;2;7;9;8;3;15
Neutral;De acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;III Región de Atacama;copiapó;26;3;6;4;6;5;7
Muy de acuerdo;Muy de acuerdo;Neutral;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Quilpué;29;3;1;8;6;1;17
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VI Región del Libertador General Bernardo O’Higgins;San Vicente ;36;3;2;1;9;2;20
Muy de acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Las condes;27;3;5;4;6;3;18
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;IX Región de La Araucanía;Temuco;24;3;3;5;8;2;16
Neutral;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;VI Región del Libertador General Bernardo O’Higgins;San Fernando;24;3;1;1;8;2;16
De acuerdo;De acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;San Bernardo ;24;2;1;10;10;4;15
De acuerdo;De acuerdo;De acuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;II Región de Antofagasta;Antofagasta;26;3;5;5;10;5;12
Muy en desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""RECHAZO""";"VOTARÁ ""NULO O BLANCO""";Hombre;Región Metropolitana de Santiago;Santiago;32;3;6;6;6;6;16
Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;La Florida;32;2;1;1;10;1;19
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Nogales;23;2;3;5;9;2;17
Neutral;De acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Valparaíso;18;3;2;7;9;4;12
En desacuerdo;Neutral;En desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN MIXTA"" (50% elección popular, 50% congreso)";Hombre;Región Metropolitana de Santiago;Quinta normal;33;2;1;1;8;1;16
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Villa alemana ;28;3;4;1;10;4;19
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;XIV Región de Los Ríos;Valdivia;32;3;1;1;10;1;18
De acuerdo;Muy de acuerdo;En desacuerdo;Neutral;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Valparaíso;27;3;3;4;10;3;18
Muy de acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Maipú;29;3;1;5;8;1;21
Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Mujer;Región Metropolitana de Santiago;Ñuñoa ;66;3;6;7;10;4;17
De acuerdo;Muy de acuerdo;En desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;V Región de Valparaíso;Quilpue;29;3;2;1;9;1;17
De acuerdo;Muy de acuerdo;Neutral;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Macul;31;5;7;5;5;3;20
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Macul;19;2;2;10;10;1;12
De acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Peñalolén;20;4;1;5;10;1;14
Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;Región Metropolitana de Santiago;Macul;19;2;2;10;10;1;12
De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;"VOTARÁ ""APRUEBO""";"VOTARÁ ""CONVENCIÓN CONSTITUCIONAL"" (100% electa)";Hombre;XVI Región de Ñuble;San Ignacio ;25;2;2;5;8;3;17
