"genero","region","comuna","edad","nes","esc","esperanza","necesario","eval.acuerdo","mejor.pais","org.pol","org.econ","pos.politico","realidad","nueva.const","mecanismo"
"Hombre","RM","Independencia ",23,3,17,"Neutral","De acuerdo","En desacuerdo","De acuerdo",5,8,3,2,"Aprueba","CC"
"Hombre","Coquimbo","Paihuano",63,3,19,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",3,7,3,5,"Aprueba","CC"
"Hombre","RM","San José de Maipo",20,3,15,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",6,6,6,6,"Aprueba","CC"
"Hombre","RM","Las Condes",23,3,17,"De acuerdo","De acuerdo","Neutral","Neutral",6,3,7,8,"Aprueba","CM"
"Hombre","RM","Maipú",22,3,17,"En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo",3,3,8,10,"Rechaza","Nulo o Blanco"
"Mujer","Valparaiso","Quilpué ",25,2,18,"De acuerdo","Muy de acuerdo","En desacuerdo","Neutral",6,7,4,3,"Aprueba","CC"
"Hombre","RM","La Cisterna ",27,3,20,"De acuerdo","Muy de acuerdo","En desacuerdo","Neutral",4,5,4,4,"Aprueba","CC"
"Mujer","RM","Santiago ",37,3,21,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",3,8,3,5,"Aprueba","CC"
"Hombre","RM","La Reina",20,4,14,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",3,6,3,4,"Aprueba","CC"
"Mujer","Coquimbo","La serena",33,3,20,"De acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",4,6,4,5,"Aprueba","CC"
"Hombre","RM","La Reina ",26,4,18,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",3,8,2,8,"Aprueba","CC"
"Hombre","RM","Ñuñoa",24,4,17,"En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Neutral",3,4,4,4,"Aprueba","CC"
"Hombre","RM","La Reina ",19,2,13,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",3,4,3,8,"Aprueba","CC"
"Hombre","RM","puente alto",27,3,17,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",3,8,3,1,"Aprueba","CC"
"Hombre","Maule","Talca",26,4,19,"De acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",5,6,3,7,"Aprueba","CC"
"Prefiero no decirlo","RM","la florida",24,2,17,"En desacuerdo","Neutral","Muy en desacuerdo","Neutral",2,8,2,2,"No votara","No votara"
"Hombre","RM","Pedro aguirre cerda",27,3,18,"Neutral","Muy en desacuerdo","En desacuerdo","En desacuerdo",1,6,1,10,"Aprueba","CC"
"Hombre","RM","Pedro aguirre cerda ",21,3,15,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,10,2,1,"Aprueba","CC"
"Mujer","Maule","Curico",45,3,17,"Muy de acuerdo","De acuerdo","Muy en desacuerdo","Neutral",5,6,6,7,"Aprueba","CC"
"Mujer","RM","Recoleta ",31,3,19,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",1,8,2,5,"Aprueba","CC"
"Hombre","RM","puente alto",23,2,16,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",2,8,2,7,"Aprueba","CC"
"Hombre","RM","Santiago ",21,4,15,"Neutral","Muy de acuerdo","Muy en desacuerdo","Neutral",7,1,2,5,"Aprueba","CC"
"Hombre","Atacama","Copiapo",19,4,12,"En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",3,7,2,3,"Aprueba","CC"
"Mujer","Arica y Parinacota","Arica",20,4,13,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",1,10,1,5,"Aprueba","CC"
"Hombre","Los Lagos","Osorno",26,3,18,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",4,6,3,6,"Aprueba","CC"
"Hombre","Biobio","chiguayante",31,3,18,"En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo",1,2,5,5,"Rechaza","CM"
"Hombre","RM","Las Condes",31,4,20,"Neutral","Muy de acuerdo","En desacuerdo","De acuerdo",4,6,1,6,"Aprueba","CC"
"Hombre","Los Rios","Valdivia ",42,1,19,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",10,10,1,7,"Aprueba","CC"
"Hombre","RM","Santiago ",32,3,24,"En desacuerdo","Neutral","En desacuerdo","Neutral",3,5,1,5,"Aprueba","CC"
"Hombre","RM","La Reina",22,4,16,"Neutral","Muy de acuerdo","En desacuerdo","De acuerdo",7,5,3,8,"Aprueba","CC"
"Hombre","RM","Maipu",19,3,13,"En desacuerdo","Neutral","Muy en desacuerdo","Neutral",2,9,2,1,"Aprueba","CC"
"Hombre","RM","Santiago ",28,3,18,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",6,8,4,7,"Aprueba","CC"
"Hombre","Los Lagos","Osorno",30,3,19,"En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",5,3,2,3,"Aprueba","CC"
"Hombre","Valparaiso","Villa Alemana",30,4,20,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",3,7,2,3,"Aprueba","CC"
